role,person,score,selected
Role 23,Person 11,0.5238095238095238,0
Role 23,Person 109,0.7619047619047619,0
Role 23,Person 111,0.6190476190476191,0
Role 23,Person 26,0.23809523809523814,0
Role 23,Person 106,0,0
Role 23,Person 85,1.0,0
Role 23,Person 105,0.8095238095238095,0
Role 23,Person 64,0.6666666666666667,0
Role 23,Person 51,0.33333333333333337,0
Role 23,Person 41,0.5714285714285714,1
Role 23,Person 38,0.1428571428571429,0
Role 23,Person 35,0,0
Role 23,Person 32,0.4285714285714286,0
Role 23,Person 14,0.2857142857142857,1
Role 23,Person 67,0.47619047619047616,0
Role 23,Person 88,0.7142857142857143,0
Role 23,Person 34,0.0,0
Role 23,Person 6,0.38095238095238093,0
Role 23,Person 107,0.8571428571428572,1
Role 23,Person 21,0.9523809523809523,1
Role 23,Person 90,0.9047619047619048,0
Role 31,Person 18,1.0,0
Role 31,Person 47,0.6666666666666667,1
Role 31,Person 25,0,0
Role 31,Person 54,0.8333333333333334,0
Role 31,Person 20,0.5,0
Role 31,Person 22,0.0,0
Role 8,Person 61,0.33333333333333337,0
Role 8,Person 51,1.0,0
Role 8,Person 112,0.8333333333333334,0
Role 8,Person 27,0.0,0
Role 8,Person 14,0.5,0
Role 8,Person 89,0.6666666666666667,1
Role 6,Person 63,0.41666666666666663,1
Role 6,Person 53,0.16666666666666663,0
Role 6,Person 73,0.6666666666666667,1
Role 6,Person 91,0.8333333333333334,0
Role 6,Person 96,0.33333333333333337,0
Role 6,Person 44,0.5,0
Role 6,Person 27,0.0,0
Role 6,Person 67,1.0,0
Role 6,Person 48,0.5833333333333333,0
Role 6,Person 12,0.25,0
Role 6,Person 6,0.75,0
Role 6,Person 86,0.9166666666666666,1
Role 50,Person 29,0.0,0
Role 50,Person 11,0.0,0
Role 50,Person 111,0.9833333333333333,1
Role 50,Person 46,0.7166666666666667,0
Role 50,Person 1,0.0,0
Role 50,Person 73,0.0,0
Role 50,Person 40,0.9333333333333333,1
Role 50,Person 71,0.95,1
Role 50,Person 91,0.0,0
Role 50,Person 39,0.9666666666666667,1
Role 50,Person 94,0.0,0
Role 50,Person 105,0.8,0
Role 50,Person 55,0.7833333333333333,1
Role 50,Person 64,0.9,1
Role 50,Person 84,0.0,0
Role 50,Person 96,0.6666666666666667,0
Role 50,Person 4,0.8333333333333334,1
Role 50,Person 87,0.7,1
Role 50,Person 2,0.8833333333333333,1
Role 50,Person 108,0.0,0
Role 50,Person 44,0.8166666666666667,1
Role 50,Person 83,0.0,0
Role 50,Person 41,0.0,0
Role 50,Person 9,0.0,0
Role 50,Person 104,0.0,0
Role 50,Person 13,0.6833333333333333,1
Role 50,Person 50,0.9166666666666666,0
Role 50,Person 79,0.85,1
Role 50,Person 100,0.75,1
Role 50,Person 12,0.0,0
Role 50,Person 34,0.0,0
Role 50,Person 57,0.0,0
Role 50,Person 97,0.0,0
Role 50,Person 95,0.8666666666666667,1
Role 50,Person 45,0.0,0
Role 50,Person 6,1.0,1
Role 50,Person 43,0.0,0
Role 50,Person 77,0.7666666666666666,0
Role 50,Person 21,0.7333333333333334,0
Role 13,Person 70,1.0,0
Role 13,Person 33,0.0,0
Role 13,Person 15,0.33333333333333337,0
Role 13,Person 58,0.8333333333333334,0
Role 13,Person 92,0.6666666666666667,0
Role 13,Person 20,0.5,1
Role 54,Person 53,0.0,0
Role 54,Person 82,0.7142857142857143,0
Role 54,Person 3,0.8571428571428572,0
Role 54,Person 19,0.2857142857142857,0
Role 54,Person 81,1.0,1
Role 54,Person 16,0.4285714285714286,0
Role 54,Person 49,0.5714285714285714,0
Role 36,Person 23,0.6666666666666667,0
Role 36,Person 4,0.8333333333333334,0
Role 36,Person 10,0.33333333333333337,0
Role 36,Person 45,1.0,1
Role 36,Person 74,0.5,0
Role 36,Person 42,0.0,0
Role 51,Person 56,0.0,0
Role 51,Person 33,0.33333333333333337,0
Role 51,Person 25,0.5,0
Role 51,Person 75,0.6666666666666667,0
Role 51,Person 81,0.8333333333333334,0
Role 51,Person 22,1.0,1
Role 40,Person 19,0.6666666666666667,0
Role 40,Person 2,0.8333333333333334,0
Role 40,Person 24,1.0,1
Role 40,Person 48,0.0,0
Role 40,Person 10,0.5,0
Role 40,Person 6,0.33333333333333337,0
Role 25,Person 53,0.4,0
Role 25,Person 94,0.0,0
Role 25,Person 103,0.8,0
Role 25,Person 67,0.6,0
Role 25,Person 74,1.0,1
Role 5,Person 29,1.0,1
Role 5,Person 105,0.0,0
Role 5,Person 64,0.9090909090909091,0
Role 5,Person 84,0,0
Role 5,Person 102,0,0
Role 5,Person 110,0.8181818181818181,1
Role 5,Person 27,0,0
Role 5,Person 8,0.7272727272727273,0
Role 5,Person 12,0,0
Role 5,Person 80,0,0
Role 5,Person 21,0.6363636363636364,0
Role 49,Person 76,0.375,0
Role 49,Person 106,1.0,0
Role 49,Person 39,0.75,0
Role 49,Person 55,0.625,0
Role 49,Person 65,0.0,0
Role 49,Person 108,0.875,0
Role 49,Person 60,0.5,1
Role 49,Person 43,0.0,0
Role 46,Person 52,0.18181818181818177,0
Role 46,Person 64,0.7272727272727273,0
Role 46,Person 65,0.6363636363636364,0
Role 46,Person 102,0.36363636363636365,0
Role 46,Person 88,0.9090909090909091,1
Role 46,Person 72,0.5454545454545454,0
Role 46,Person 12,0.8181818181818181,1
Role 46,Person 80,0.0,0
Role 46,Person 89,0.4545454545454546,0
Role 46,Person 77,1.0,0
Role 46,Person 107,0.2727272727272727,0
Role 24,Person 61,0.8333333333333334,0
Role 24,Person 111,0.0,0
Role 24,Person 63,0.0,0
Role 24,Person 51,0.9166666666666666,1
Role 24,Person 84,0.0,0
Role 24,Person 44,0.75,0
Role 24,Person 112,0.0,0
Role 24,Person 104,0.0,0
Role 24,Person 72,1.0,0
Role 24,Person 89,0.0,0
Role 24,Person 5,0.0,0
Role 24,Person 42,0.6666666666666667,1
Role 1,Person 18,0.9166666666666666,1
Role 1,Person 82,0.0,0
Role 1,Person 31,0.6666666666666667,0
Role 1,Person 56,0.5,1
Role 1,Person 47,0.0,0
Role 1,Person 66,0.0,0
Role 1,Person 70,0.0,0
Role 1,Person 15,0.75,0
Role 1,Person 38,0.0,0
Role 1,Person 75,0.8333333333333334,1
Role 1,Person 54,1.0,0
Role 1,Person 92,0.5833333333333333,0
Role 20,Person 76,0.19999999999999996,0
Role 20,Person 63,0.35,0
Role 20,Person 106,0.15000000000000002,0
Role 20,Person 101,0.25,0
Role 20,Person 84,0.5,1
Role 20,Person 19,0.7,0
Role 20,Person 41,0.4,0
Role 20,Person 38,0.65,1
Role 20,Person 37,0.09999999999999998,0
Role 20,Person 50,0.85,0
Role 20,Person 60,0.6,0
Role 20,Person 62,0.95,0
Role 20,Person 97,0.55,1
Role 20,Person 6,0.35,0
Role 20,Person 43,0.75,1
Role 20,Person 80,0.0,0
Role 20,Person 5,0.9,0
Role 20,Person 107,0.8,0
Role 20,Person 36,0.44999999999999996,0
Role 20,Person 90,1.0,0
Role 12,Person 18,1.0,0
Role 12,Person 31,0.875,1
Role 12,Person 25,0.375,0
Role 12,Person 75,0.75,0
Role 12,Person 81,0.0,0
Role 12,Person 16,0.0,0
Role 12,Person 22,0.5,0
Role 12,Person 17,0.625,0
Role 45,Person 82,0.0,0
Role 45,Person 66,0.33333333333333337,0
Role 45,Person 81,0.5,0
Role 45,Person 58,0.8333333333333334,0
Role 45,Person 92,0.6666666666666667,1
Role 45,Person 69,1.0,0
Role 55,Person 61,0.375,0
Role 55,Person 109,0.5833333333333333,0
Role 55,Person 1,0.625,0
Role 55,Person 63,0.0,0
Role 55,Person 40,0.8333333333333334,0
Role 55,Person 94,0.125,0
Role 55,Person 55,0.5,0
Role 55,Person 96,0.875,1
Role 55,Person 19,0.9166666666666666,1
Role 55,Person 98,0.6666666666666667,0
Role 55,Person 28,0.25,0
Role 55,Person 103,0.5416666666666667,0
Role 55,Person 38,0.41666666666666663,0
Role 55,Person 27,0.16666666666666663,0
Role 55,Person 35,1.0,1
Role 55,Person 88,0.75,0
Role 55,Person 37,0.45833333333333337,1
Role 55,Person 100,0.7083333333333333,0
Role 55,Person 60,0.20833333333333337,0
Role 55,Person 62,0.7916666666666666,1
Role 55,Person 6,0.29166666666666663,0
Role 55,Person 5,0.9583333333333334,0
Role 55,Person 74,0.08333333333333337,0
Role 55,Person 22,0.33333333333333337,0
Role 22,Person 93,0.8333333333333334,0
Role 22,Person 82,0.33333333333333337,0
Role 22,Person 25,0.6666666666666667,1
Role 22,Person 54,1.0,0
Role 22,Person 69,0.0,0
Role 22,Person 20,0.5,0
Role 32,Person 30,0.875,1
Role 32,Person 26,0.625,0
Role 32,Person 39,1.0,0
Role 32,Person 23,0.375,0
Role 32,Person 2,0.75,0
Role 32,Person 14,0.5,0
Role 32,Person 68,0.0,0
Role 32,Person 36,0.0,0
Role 52,Person 93,0.6666666666666667,0
Role 52,Person 18,0.5,0
Role 52,Person 70,1.0,1
Role 52,Person 15,0.8333333333333334,0
Role 52,Person 58,0.0,0
Role 52,Person 22,0.0,0
Role 7,Person 76,0.0,0
Role 7,Person 63,0.0,0
Role 7,Person 106,1.0,1
Role 7,Person 101,0.0,0
Role 7,Person 51,0.0,0
Role 7,Person 110,0.0,0
Role 7,Person 72,0.0,0
Role 7,Person 89,0.0,0
Role 7,Person 90,0.8888888888888888,0
Role 21,Person 11,0.6,0
Role 21,Person 30,0.5,0
Role 21,Person 106,0.4,0
Role 21,Person 3,0.0,0
Role 21,Person 108,0.8,1
Role 21,Person 83,0.9,1
Role 21,Person 32,0.30000000000000004,0
Role 21,Person 42,0.19999999999999996,0
Role 21,Person 90,1.0,0
Role 21,Person 86,0.7,0
Role 16,Person 76,0.33333333333333337,1
Role 16,Person 39,1.0,0
Role 16,Person 3,0.0,0
Role 16,Person 65,0.6666666666666667,0
Role 16,Person 98,0.8333333333333334,0
Role 16,Person 62,0.5,0
Role 47,Person 29,0.8571428571428572,0
Role 47,Person 46,0.4285714285714286,0
Role 47,Person 101,0.5714285714285714,1
Role 47,Person 23,0.2857142857142857,0
Role 47,Person 24,0.7142857142857143,0
Role 47,Person 48,0.0,0
Role 47,Person 88,1.0,0
Role 37,Person 85,1.0,0
Role 37,Person 66,0.0,0
Role 37,Person 104,0.5,1
Role 37,Person 37,0.33333333333333337,0
Role 37,Person 78,0.6666666666666667,0
Role 37,Person 57,0.8333333333333334,0
Role 11,Person 71,1.0,0
Role 11,Person 87,0.5,0
Role 11,Person 98,0.6666666666666667,0
Role 11,Person 32,0.8333333333333334,1
Role 11,Person 74,0.0,0
Role 11,Person 42,0.0,0
Role 28,Person 7,0.6,0
Role 28,Person 29,0.4,0
Role 28,Person 1,1.0,1
Role 28,Person 110,0.8,0
Role 28,Person 20,0.0,0
Role 53,Person 52,0.5,0
Role 53,Person 26,0.33333333333333337,0
Role 53,Person 39,1.0,0
Role 53,Person 108,0.6666666666666667,0
Role 53,Person 112,0.0,0
Role 53,Person 72,0.8333333333333334,1
Role 35,Person 11,0.6,0
Role 35,Person 40,0.8,0
Role 35,Person 85,1.0,1
Role 35,Person 41,0,0
Role 35,Person 80,0.0,0
Role 17,Person 40,1.0,0
Role 17,Person 51,0.6666666666666667,0
Role 17,Person 27,0.5,1
Role 17,Person 13,0.0,0
Role 17,Person 72,0.33333333333333337,0
Role 17,Person 77,0.8333333333333334,0
Role 56,Person 61,0.33333333333333337,0
Role 56,Person 26,0.6666666666666667,1
Role 56,Person 91,0.8333333333333334,0
Role 56,Person 23,0.5,0
Role 56,Person 103,1.0,0
Role 56,Person 45,0.0,0
Role 44,Person 7,0,0
Role 44,Person 71,0.8888888888888888,0
Role 44,Person 55,0.6666666666666667,0
Role 44,Person 96,0,0
Role 44,Person 68,0,0
Role 44,Person 100,0.0,0
Role 44,Person 57,0.5555555555555556,1
Role 44,Person 21,0.7777777777777778,0
Role 44,Person 90,1.0,1
Role 27,Person 85,0.8,0
Role 27,Person 103,1.0,1
Role 27,Person 100,0.6,0
Role 27,Person 62,0.4,0
Role 27,Person 20,0.0,0
Role 39,Person 71,0.8,0
Role 39,Person 91,1.0,1
Role 39,Person 2,0.4,0
Role 39,Person 45,0.0,0
Role 39,Person 86,0.6,0
Role 26,Person 1,0.8,0
Role 26,Person 44,0.4,0
Role 26,Person 83,1.0,0
Role 26,Person 110,0.0,0
Role 26,Person 36,0.6,1
Role 19,Person 52,0.8,1
Role 19,Person 112,0.0,0
Role 19,Person 9,0.0,0
Role 19,Person 34,0,0
Role 19,Person 86,1.0,0
Role 4,Person 28,0.0,0
Role 4,Person 48,0.0,0
Role 4,Person 10,0.0,0
Role 4,Person 97,0.0,0
Role 4,Person 77,1.0,1
Role 3,Person 53,0.0,0
Role 3,Person 94,0.0,0
Role 3,Person 59,0.8,0
Role 3,Person 112,1.0,1
Role 3,Person 107,0.6,0
Role 9,Person 31,0.0,0
Role 9,Person 56,0.4,0
Role 9,Person 54,1.0,1
Role 9,Person 81,0.6,0
Role 9,Person 22,0.8,0
Role 43,Person 93,0.7142857142857143,0
Role 43,Person 66,0.4285714285714286,0
Role 43,Person 25,0.8571428571428572,0
Role 43,Person 16,0.0,0
Role 43,Person 58,0.5714285714285714,0
Role 43,Person 92,0.2857142857142857,0
Role 43,Person 17,1.0,1
Role 29,Person 7,0.19999999999999996,1
Role 29,Person 91,1.0,0
Role 29,Person 65,0.5,1
Role 29,Person 108,0.7,0
Role 29,Person 83,0.9,0
Role 29,Person 78,0.6,0
Role 29,Person 79,0.8,0
Role 29,Person 95,0.4,0
Role 29,Person 77,0.30000000000000004,0
Role 29,Person 42,0.0,0
Role 14,Person 53,0.9090909090909091,1
Role 14,Person 26,0.2727272727272727,0
Role 14,Person 71,1.0,0
Role 14,Person 101,0.0,0
Role 14,Person 3,0.7272727272727273,1
Role 14,Person 102,0.8181818181818181,0
Role 14,Person 28,0.18181818181818177,0
Role 14,Person 104,0.5454545454545454,0
Role 14,Person 37,0.36363636363636365,0
Role 14,Person 21,0.6363636363636364,0
Role 14,Person 86,0.4545454545454546,0
Role 34,Person 61,0.8,1
Role 34,Person 46,1.0,0
Role 34,Person 8,0.0,0
Role 34,Person 79,0.8,0
Role 34,Person 97,0.0,0
Role 41,Person 11,0.6666666666666667,1
Role 41,Person 30,0.0,0
Role 41,Person 59,0.0,0
Role 41,Person 24,1.0,0
Role 41,Person 50,0.8333333333333334,0
Role 41,Person 79,0.5,0
Role 30,Person 109,0.75,1
Role 30,Person 85,1.0,0
Role 30,Person 105,0.0,0
Role 30,Person 55,0.5,0
Role 30,Person 87,0.0,0
Role 30,Person 102,0.6666666666666667,0
Role 30,Person 32,0.5833333333333333,0
Role 30,Person 67,0.9166666666666666,0
Role 30,Person 99,0.0,0
Role 30,Person 34,0.0,0
Role 30,Person 45,0.0,0
Role 30,Person 5,0.8333333333333334,1
Role 42,Person 2,1.0,0
Role 42,Person 110,0.0,0
Role 42,Person 8,0.9090909090909091,0
Role 42,Person 48,0,0
Role 42,Person 99,0.8181818181818181,1
Role 42,Person 57,0.4545454545454546,0
Role 42,Person 60,0,0
Role 42,Person 95,0.7272727272727273,0
Role 42,Person 80,0.6363636363636364,1
Role 42,Person 89,0.36363636363636365,0
Role 42,Person 5,0.5454545454545454,0
Role 18,Person 18,1.0,0
Role 18,Person 82,0.5714285714285714,0
Role 18,Person 47,0.2857142857142857,0
Role 18,Person 70,0.4285714285714286,0
Role 18,Person 33,0.0,0
Role 18,Person 16,0.7142857142857143,1
Role 18,Person 92,0.8571428571428572,0
Role 10,Person 7,0,0
Role 10,Person 109,0.0,0
Role 10,Person 111,0.0,0
Role 10,Person 1,0.0,0
Role 10,Person 73,0.0,0
Role 10,Person 40,0.0,0
Role 10,Person 105,0.0,0
Role 10,Person 59,0,0
Role 10,Person 4,0.65,0
Role 10,Person 24,0.7,0
Role 10,Person 98,1.0,1
Role 10,Person 9,0.0,0
Role 10,Person 67,0.95,1
Role 10,Person 104,0.0,0
Role 10,Person 88,0.0,0
Role 10,Person 50,0.75,1
Role 10,Person 99,0.0,0
Role 10,Person 78,0.9,1
Role 10,Person 107,0.0,0
Role 10,Person 17,0.0,0
Role 15,Person 93,1.0,1
Role 15,Person 31,0.0,0
Role 15,Person 70,0.75,0
Role 15,Person 33,0.5,1
Role 15,Person 15,0.25,0
Role 15,Person 75,0.875,0
Role 15,Person 58,0.625,0
Role 15,Person 69,0.375,0
Role 48,Person 11,1.0,0
Role 48,Person 46,0.0,0
Role 48,Person 52,0,0
Role 48,Person 101,0,0
Role 48,Person 94,0.8333333333333334,1
Role 48,Person 87,0.6666666666666667,0
Role 48,Person 102,0.9166666666666666,1
Role 48,Person 8,0.5833333333333333,0
Role 48,Person 9,0.0,0
Role 48,Person 13,0,0
Role 48,Person 12,0.75,0
Role 48,Person 89,0.5,0
Role 2,Person 29,1.0,0
Role 2,Person 23,0.6,1
Role 2,Person 4,0.7,0
Role 2,Person 28,0.4,0
Role 2,Person 35,0.0,0
Role 2,Person 8,0.8,1
Role 2,Person 14,0.5,0
Role 2,Person 10,0.9,0
Role 2,Person 78,0.0,0
Role 2,Person 49,0.0,0
Role 38,Person 15,1.0,1
Role 38,Person 25,0.4,0
Role 38,Person 16,0.6,0
Role 38,Person 92,0.0,0
Role 38,Person 69,0.8,0
Role 33,Person 93,0.6666666666666667,0
Role 33,Person 18,0.8333333333333334,0
Role 33,Person 82,0.33333333333333337,0
Role 33,Person 56,0.5,0
Role 33,Person 69,1.0,1
Role 33,Person 17,0.0,0
Role 58,Person 31,0.6,0
Role 58,Person 56,0.0,0
Role 58,Person 47,0.4,0
Role 58,Person 54,1.0,0
Role 58,Person 58,0.8,1
Role 57,Person 7,0.23809523809523814,0
Role 57,Person 76,0.2857142857142857,0
Role 57,Person 109,0.5714285714285714,0
Role 57,Person 46,0.8571428571428572,1
Role 57,Person 73,0.5238095238095238,0
Role 57,Person 40,1.0,0
Role 57,Person 85,0.19047619047619047,0
Role 57,Person 105,0.9047619047619048,1
Role 57,Person 64,0.8095238095238095,0
Role 57,Person 59,0.33333333333333337,1
Role 57,Person 65,0.0,0
Role 57,Person 4,0.0,0
Role 57,Person 24,0.6190476190476191,0
Role 57,Person 44,0.38095238095238093,0
Role 57,Person 83,0.7142857142857143,0
Role 57,Person 48,0.6666666666666667,1
Role 57,Person 10,0.7619047619047619,1
Role 57,Person 50,0.4285714285714286,0
Role 57,Person 79,0.47619047619047616,0
Role 57,Person 95,0.9523809523809523,0
Role 57,Person 36,0.0,0
